comp_disp_inspection_by,comp_disp_date,nyc_BIN,location
1993,2016-12-14,5105549,"40.5636340,-74.1123110"
2556,2016-12-14,5105549,"40.5636340,-74.1123110"
2556,2016-12-14,5105549,"40.5636340,-74.1123110"
2554,2016-12-14,4015887,"40.7733400,-73.9072300"
2675,2016-12-14,4035855,"0.0000000,0.0000000"
2675,2016-12-14,4035855,"40.7503950,-73.8803360"
2227,2016-12-14,4040899,"40.7689889,-73.8676463"
2574,2016-12-14,3125502,"40.6430549,-73.9734460"
2387,2016-12-14,3030702,"40.6752252,-73.9499523"
2188,2016-12-14,3009068,"40.6638130,-73.9939900"
2682,2016-12-14,3038030,"40.6658680,-73.9383260"
2822,2016-12-14,3099485,"40.6650100,-73.9268240"
2387,2016-12-14,3247881,"40.5851860,-73.9345010"
2387,2016-12-14,3247881,"40.5852448,-73.9344683"
2556,2016-12-14,3099485,"40.6650100,-73.9268240"
2787,2016-12-14,3125501,"40.6428680,-73.9733560"
2714,2016-12-14,3110484,"40.6458804,-73.9461518"
2556,2016-12-14,3099485,"40.6650100,-73.9268240"
2767,2016-12-14,3031004,"40.6748140,-73.9476370"
2787,2016-12-14,3116213,"40.6540380,-73.9577490"
2767,2016-12-14,3028726,"40.6777170,-73.9707339"
2556,2016-12-14,3206440,"40.6301763,-73.9467623"
2556,2016-12-14,3206440,
2687,2016-12-14,3116472,"40.6508450,-73.9646814"
2687,2016-12-14,3206440,"40.6301763,-73.9467623"
2687,2016-12-14,3206440,
2822,2016-12-14,3337103,"40.6154952,-73.9605811"
2822,2016-12-14,3327345,"40.6382590,-73.9432540"
2656,2016-12-14,3321587,"40.6148242,-73.9204103"
1771,2016-12-14,3079271,"40.6902270,-73.9078110"
2656,2016-12-14,3021392,"40.6711780,-73.9839820"
2374,2016-12-14,2005676,"40.8260705,-73.8953762"
2771,2016-12-14,2005676,"40.8260705,-73.8953762"
2771,2016-12-14,2013059,"40.8537180,-73.8823759"
