building,counts
441 7 AV,106
55 WATER STREET,99
111 EAST 33 STREET,64
140 W 53 ST,51
71 EAST 42 STREET,51
501 WEST 30 STREET,51
234 WEST 42 STREET,46
1 WATER STREET,46
4 IRVING PLACE,45
60 WALL STREET,45
1221 AVE OF AMER,44
1 WALL STREET,43
16 LIBERTY STREET,42
149 BROADWAY,42
1 CHASE MANHATTAN PLAZA,39
621 THIRD AVE,38
40 WALL STREET,38
626 FIFTH AVENUE,38
10 WALL STREET,38
301 CHAMBERS STREET,38
808 COLUMBUS AVENUE,37
1311 BROADWAY,36
350 5TH AVE,35
109 EAST 42 ST,35
57 EAST 57 ST,34
10 WALL ST,33
749 LEXINGTON AVE,33
100 PARK AVE,32
229 EAST 42 STREET,32
360 12 AVE,31
139 EAST 42 STREET,31
3 PARK AVE,30
101 WEST 50 ST,30
9 DEY STREET,29
150 BROADWAY,29
55 LEXINGTON AVENUE,29
72 WALL STREET,29
28 OLD SLIP,29
16 EXCHANGE PLACE,29
107 NORTH MOORE STREET,28
1 WALL ST,28
97 WARREN STREET,28
622 3 AVE,28
360 12 AVENUE,28
177 FT WASHINGTON AVENUE,27
575 5TH AVE,27
1334 YORK AVE,27
10 ROCKEFELLER PLAZA,27
150 WILLIAM STREET,27
1440 BWAY,27
224 GREENWICH STREET,26
1411 BROADWAY,26
150 MAIDEN LANE,26
2 BROADWAY,26
17 BATTERY PLACE,26
1114 AVE OF AMERICAS,26
121 W 105 ST,26
8 SPRUCE STREET,26
1 PARK AVE,26
110 WILLIAM STREET,26
50 JOHN STREET,25
100 CENTRE STREET,25
10 BROADWAY,25
223 EAST 41 STREET,25
212 BROADWAY,25
401 7 AVENUE,25
621 THIRD AVENUE,25
160 FULTON STREET,25
217 W 43RD ST,24
65 TERRACE VIEW AVENUE,24
80 PINE STREET,24
400 WEST 59 STREET,24
224 WEST STREET,24
590 MADISON AV,24
30 ROCKEFELLER PLAZA,24
78 MAIDEN LANE,24
146 LEONARD STREET,24
421 PARK AVE,24
1505 BROADWAY,24
1889 BROADWAY,23
301 W 34TH ST,23
111 8 AVE,23
90 CHURCH STREET,23
154 W 32 ST,23
105 WEST 42 STREET,23
521 EAST 68 STREET,23
301 WEST 34 STREET,22
100 WEST 125 STREET,22
25 BROADWAY,22
411 WEST 49 STREET,22
635 12 AVENUE,22
339 MADISON AVE,22
250 W 57TH ST,22
731 LEXINGTON AVENUE,22
555 MADISON AVE,22
269 BROADWAY,21
199 WATER STREET,21
666 3 AVENUE,21
700 LEXINGTON AVE,21
1000 FIFTH AVENUE,21
500 7TH AVE,21
105 EAST 14 STREET,21
13 PARK ROW,21
