building,counts
100 E GUN HILL RD,27
3424 KOSSUTH AV,27
1400 BX AND PELHAM PARKWAY,24
2850 PAUL AV,23
1 E 161 ST,22
6301 RIVERDALE AV,19
4150 BRONX BLVD,19
10 RICHMOND PLAZA,18
425 MORRIS AV,18
1242 FULTON AV,17
100 W KINGSBRIDGE RD,17
80 VAN CORTLANDT PARK SOUTH,16
2100 BARTOW AV,16
200 BAYCHESTER AV,15
300 W KINGSBRIDGE RD,14
612 ALLERTON AV,14
2545 UNIVERSITY AV,14
1475 GR CONCOURSE,13
1925 ECHESTER RD,13
171 W 230 ST,13
2715 GRAND CONCOURSE,12
2280 GIVAN AV,12
3810 BAILEY AV,12
773 MORRIS AV,12
1014 GERARD AV,12
2100 BRONX PARK E,12
1776 CLAY AV,11
2200 MORRIS AV,11
217 E 161 ST,11
2600 NETHERLAND AV,10
1650 GRAND CONCOURSE,10
624 E 183 ST,10
1590 UNDERCLIFF AV,10
2051 GRAND CONCOURSE,10
900 GRAND CONCOURSE,10
1409 METROPOLITAN AV,10
121 W 180 ST,10
2175 RYER AV,10
1775 GRAND CONCOURSE,10
2484 GRAND CONCOURSE,10
2501 GRAND CONCOURSE,10
1230 LELAND AV,10
2100 WALLACE AV,10
750 BAYCHESTER AV,10
2254 SEDGWICK AV,9
1944 UNIONPORT RD,9
1776 ECHESTER RD,9
1386 RYAWA AV,9
1535 UNDERCLIFF AV,9
2780 RESERVOIR AV,9
2205 DAVIDSON AV,9
1950 ANDREWS AV,9
780 E 135 ST,9
555 KAPPOCK ST,9
1870 PELHAM PKWAY SO,9
355 W 255 ST,9
120 E GUN HILL RD,9
2324 BOSTON RD,9
1025 BOYNTON AV,9
975 BROOK AV,8
2564 PARK AV,8
3555 OLINVILLE AV,8
1501 JEROME AV,8
1771 ANDREWS AV,8
815 HUTCHINSON RIVER PARKWAY,8
2550 WEBB AV,8
1380 DR M L KING JR BLVD,8
1229 FRANKLIN AV,8
1730 MULFORD AV,8
1775 DAVIDSON AV,8
400 E FORDHAM RD,8
1010 UNDERHILL AV,8
3980 ORLOFF AV,8
1839 UNIVERSITY AV,8
3570 THIRD AV,8
789 ASTOR AV,8
18-01 HAZEN ST,8
820 BOYNTON AV,8
2225 HOLLAND AV,7
601 E 149 ST,7
2515 DAVIDSON AV,7
801 TILDEN ST,7
2765 MATTHEWS AV,7
2700 MARION AV,7
1998 BRUCKNER BLVD,7
750 GRAND CONCOURSE,7
750 PELHAM PKWY,7
1453 WALTON AV,7
367 SOUTHERN BLVD,7
100 DEBS PL,7
1270 GERARD AV,7
657 CROTONA PK N,7
2900 GOULDEN AV,7
4143 3 AV,7
611 E 149 ST,7
213 E 144 ST,7
231 W 246 ST,7
640 W 238 ST,7
1368 CROMWELL AV,7
524 E 236 ST,7
700 WHITE PLAINS RD,7
888 GRAND CONCOURSE,7
1001 HAZEN ST,7
3400 WAYNE AV,7
3170 WEBSTER AV,7
1340 MORRIS AV,7
2010 BRUCKNER BLVD,7
801 BARTHOLDI ST,7
1600 MACOMBS RD,7
3901 FIELDSTON RD,7
1530 SHERIDAN AV,7
3045 GODWIN TERRACE,7
4575 MANHATTAN COLLEGE PARKWAY,7
1420 CLAY AV,7
665 BURKE AV,7
1201 LAFAYETTE AV,7
1250 FRANKLIN AV,6
853 WALTON AV,6
974 WARING AV,6
1480 THIERIOT AV,6
1534 SELWYN AV,6
5532 NETHERLAND AV,6
100 ERDMAN PL,6
1404 OGDEN AV,6
376 E 156 ST,6
1621 ECHESTER RD,6
85 STRONG ST,6
910 E 135 ST,6
2875 EDSON AV,6
1168 STRATFORD AV,6
2950 PARK AV,6
1510 WATERS PL,6
3000 BRONX PK E,6
1177 ANDERSON AV,6
653 JEFFERSON PL,6
1029 WASHINGTON AV,6
1601 BRONXDALE AV,6
3020 WEBSTER AV,6
3505 DECATUR AV,6
100 DARROW PL,6
361 E 161 ST,6
1250 MORRIS PARK AV,6
1 RUPPERT PL,6
600 BAYCHESTER AV,6
430 SOUTHERN BLVD,6
1241 SOUTHERN BLVD,6
2707 CRESTON AV,6
2260 UNIVERSITY AV,6
950 RHINELANDER AV,6
587 E 139 ST,6
2686 BAILEY AV,6
2880 KINGSBRIDGE TERRACE,6
3952 THIRD AV,6
1204 SHAKESPEARE AV,6
1000 PELHAM PARKWAY S,6
3304 WATERBURY AV,6
1300 BOYNTON AV,6
3155 GRACE AV,6
2925 GRAND CONCOURSE,6
225 E 149 ST,6
1541 WILLIAMSBRIDGE RD,6
2230 CRUGER AV,6
1035 BOYNTON AV,6
3415 BAINBRIDGE AV,6
111 E FORDHAM RD,6
2501 DAVIDSON AV,6
140 CASALS PL,6
3081 VILLA AV,6
100 DONIZETTI PL,6
6629 BRDWAY,6
20 W MOSHOLU PARKWAY SOUT,6
2351 WATERBURY AV,6
355 E 184 ST,6
1980 LAFAYETTE AV,6
1750 E 172ND ST,6
1670 E 174 ST,6
250 BAYCHESTER AV,6
2162 BARNES AV,6
5400 FIELDSTON RD,6
1800 GRAND CONCOURSE,6
1815 MONROE AV,6
3171 ROCHAMBEAU AV,6
2255 GRAND CONCOURSE,6
4381 POST RD,6
2745 RESERVOIR AV,6
2400 HUNTER AV,6
1605 TOWNSEND AV,6
328 BEEKMAN AV,6
4040 BRONX BLVD,6
1511 SHERIDAN AV,6
900 TINTON AV,6
2440 BRONX PARK E,6
3900 GREYSTONE AV,6
3425 GATES PL,6
6469 BRDWAY,6
1136 GRANT AV,6
250 E GUN HILL RD,6
100 EINSTEIN LOOP,6
825 E 141 ST,6
3529 ROCHAMBEAU AV,6
3050 CRUGER AV,6
3160 WEBSTER AV,6
1555 SEABURY PL,6
1981 GILDERSLEEVE AV,5
1221 WHITE PLAINS RD,5
253 E 142 ST,5
2001 STORY AV,5
810 E 152 ST,5
3617 BAINBRIDGE AV,5
4428 3 AV,5
1932 ARTHUR AV,5
950 SUMMIT AV,5
1290 LAFAYETTE AV,5
2700 BRIGGS AV,5
2492 ELM PL,5
643 E 232 ST,5
1778 SOUTHERN BLVD,5
855 E 217 ST,5
5900 ARLINGTON AV,5
280 BAYCHESTER AV,5
379 E 148 ST,5
2199 HOLLAND AV,5
3551 DEKALB AV,5
3965 SEDGWICK AV,5
3400 CANNON PL,5
2070 BRONX PARK E,5
2045 STORY AV,5
366 E 150 ST,5
3190 RIVERDALE AV,5
2300 ELY AV,5
2103 HONEYWELL AV,5
5655 ARLINGTON AV,5
951 HOE AV,5
2685 UNIVERSITY AV,5
2640 3 AV,5
1800 DAVIDSON AV,5
2245 BARKER AV,5
1560 PURDY ST,5
790 ST ANNS AV,5
730 CONCOURSE VILLAGE W,5
120 W 231 ST,5
789 WARING AV,5
731 WHITE PLAINS RD,5
2528 GRAND CONCOURSE,5
66 VAN CORTLANDT PARK SOUTH,5
1996 ANTHONY AV,5
2682 BAILEY AV,5
101 E 181 ST,5
1065 GERARD AV,5
1455 GRAND CONCOURSE,5
1560 PELHAM PARKWAY,5
2040 E TREMONT AV,5
1990 JEROME AV,5
2923 GRAND CONCOURSE,5
356 SOUNDVIEW AV,5
2041 HOLLAND AV,5
2190 BOSTON RD,5
1940 WEBSTER AV,5
5700 ARLINGTON AV,5
1340 PELHAM PARKWAY SOUTH,5
1420 PELHAM PARKWAY SOUTH,5
813 MORRIS PARK AV,5
3150 ROCHAMBEAU AV,5
920 THERIOT AV,5
831 BARTHOLDI ST,5
3677 WHITE PLAINS RD,5
220 E 163 ST,5
261 E KINGSBRIDGE RD,5
2265 SEDGWICK AV,5
2126 MAPES AV,5
683 E 140 ST,5
800 E GUNHILL RD,5
221 E 168 ST,5
1005 JEROME AV,5
655 PELHAM PKWY,5
756 BRADY AV,5
3160 PARK AV,5
165 W 197 ST,5
2403 GRAND CONCOURSE,5
2264 MORRIS AV,5
1690 E 174 ST,5
1500 PELHAM PKWY,5
3366 DECATUR AV,5
1775 WALTON AV,5
950 UNDERHILL AV,5
1970 W FARMS RD,5
6054 NETHERLAND AV,5
185 MC CLELLAN ST,5
1259 GRANT AV,5
268 E 211 ST,5
2500 JOHNSON AV,5
1436 CLAY AV,5
2417 THIRD AV,5
3576 DEKALB AV,5
2695 BRIGGS AV,5
385 GERARD AV,5
2011 HOLLAND AV,5
960 INTERVALE AV,5
3212 DECATUR AV,5
3873 ORLOFF AV,5
3554 ROCHAMBEAU AV,5
890 WASHINGTON AV,5
3600 FIELDSTON RD,5
2185 BOLTON ST,5
250 E 144 ST,5
2776 JEROME AV,5
1307 EDWARD L GRANT HIGHWAY,5
3572 DEKALB AV,5
1250 WATERS PL,5
2115 HONEYWELL AV,5
1135 BOYNTON AV,5
245 E 207 ST,5
2487 DAVIDSON AV,5
1900 ARCHER ST,5
3850 BRONX BLVD,5
2121 PAULDING AV,5
679 MAGENTA ST,5
1054 SOUTHERN BLVD,5
2900 BAINBRIDGE AV,5
3050 WHITE PLAINS RD,5
1055 BRONX RIVER AV,4
957 WOODYCREST AV,4
921 HUNT'S POINT AV,4
1275 EDWARD L GRANT HIGHWAY,4
1223 WHITE PLAINS RD,4
678 SAGAMORE ST,4
4217 VIREO AV,4
215 E GUN HILL RD,4
1665 BARTOW AV,4
900 CO-OP CITY BLVD,4
355 FOOD CENTER DRIVE,4
1818 CLAY AV,4
1720 ECHESTER RD,4
387 E 158 ST,4
140 BENCHLEY PL,4
222 ALEXANDER AV,4
3457 ECHESTER RD,4
263 E GUN HILL RD,4
810 RIVER AV,4
600 CASTLE HILL AV,4
1058 SOUTHERN BLVD,4
3001 FAIRFIELD AV,4
3815 PUTNAM AV W,4
920 TRINITY AV,4
220 E 204 ST,4
3900 BAILEY AV,4
2316 BRUNER AV,4
