building,counts
350 JAY ST,77
139 FLATBUSH AV,70
139 PIERREPONT ST,40
2895 BEDFORD AV,40
330 JAY ST,38
445 GOLD ST,36
370 JAY ST,32
2946 BEDFORD AV,30
422 FULTON ST,30
140 58 ST,28
5102 AVE U,28
1227 47 ST,27
208 JORALEMON ST,25
29 FORT GREENE PL,24
484 FULTON ST,23
111 LIVINGSTON ST,21
364 BEDFORD AV,20
749 EERN PARKWAY,20
345 ADAMS ST,20
129 MYRTLE AV,18
5501 1 AV,18
339 HICKS ST,18
123 SCHERMERHORN ST,18
360 ADAMS ST,18
620 ATLANTIC AV,17
3 HANSON PL,17
850 3 AV,17
10 JAY ST,17
1275 LINDEN BLVD,17
395 FLATBUSH AVE EXT,16
300 JAY ST,16
2237 LINDEN BLVD,16
16 COURT ST,16
9 DEKALB AV,16
2055 FULTON ST,15
1 JEWEL MC COY LANE,15
480 HERKIMER ST,14
4915 10 AV,14
100 WILLOUGHBY ST,14
329 GREENPOINT AV,14
199 HALSEY ST,14
3601 14 AV,14
22 COURT ST,14
20 FURMAN ST,14
106 COURT ST,14
295 BRIDGE ST,14
58 JAY ST,14
15 WASHINGTON AV,14
319 SCHERMERHORN ST,13
374 STOCKHOLM ST,13
3014 BRIGHTON 8 ST,13
181 FRONT ST,12
1361 E 91 ST,12
256 UTICA AV,12
2940 W AV ST,12
27 HALL ST,12
2930 W 5 ST,12
461 DEAN ST,11
1407 LINDEN BLVD,11
1368 FULTON ST,11
1 PROSPECT PARK W,11
209 MACDONOUGH ST,11
333 SCHERMERHORN ST,11
363 HICKS ST,11
180 REMSEN ST,11
111 LAWRENCE ST,11
483 KINGSTON AV,11
120 NASSAU ST,11
140 STEWART AV,11
340 HENRY ST,10
4410 3 AV,10
2820 OCEAN AV,10
1655 E NEW YORK AV,10
80 DEKALB AV,10
3325 NEPTUNE AV,10
34 NORTH 6 ST,10
1636 BEDFORD AV,10
2266 CROPSEY AV,10
420 FULTON ST,10
116 TROUTMAN ST,10
410 WINTHROP ST,10
480 VAN BRUNT ST,10
585 SCHENECTADY AV,10
446 KINGSTON AV,10
4100 1 AV,10
266 WALLABOUT ST,10
2881 NOSTRAND AV,10
835 HERKIMER ST,10
140 AMERSFORT PL,10
4802 1 AV AV,10
197 BRIDGE ST,10
1516 ORIENTAL BLVD,9
388 BRIDGE ST,9
1121 E 14 ST,9
6 STANWIX ST,9
292 DEKALB AV,9
251 CLASSON AV,9
120 SOUTH 4 ST,9
98 MONTAGUE ST,9
597 GRAND AV,9
292 KENT AV,9
89 GRATTAN ST,9
780 LIVONIA AV,9
470 VANDERBILT AV,9
271 LENOX RD,9
11 RYERSON ST,9
325 KENT AV,9
63 FLUSHING AV,9
49 JUNIUS ST,9
520 KINGSLAND AV,9
768 LEFFERTS AV,9
2 MAIN ST,9
650 AMBOY ST,9
70 RICHARDS ST,9
186 LENOX RD,9
50 COURT ST,9
427 BRDWAY,9
352 HICKS ST,9
517 39 ST,9
283 ALBANY AV,9
980 3 AV,9
161 ASHLAND PL,8
2807 E 21 ST,8
769 ST MARKS AV,8
94 NORTH 13 ST,8
420 WATKINS ST,8
42 STEWART AV,8
489 CLARKSON AV,8
130 FURMAN ST,8
1601 80 ST,8
25 ELM PL,8
765 LINCOLN AV,8
471 CLARKSON AV,8
149 CLIFTON PL,8
1901 EMMONS AV,8
148 39 ST,8
1605 FULTON ST,8
193 MONTAGUE ST,8
14 VERONA ST,8
2935 BEDFORD AV,8
1427 DEKALB AV,8
100 MYRTLE AV,8
177 LIVINGSTON ST,8
1 JUNIUS ST,8
1652 STILLWELL AV,8
360 BRIDGE ST,8
205 STATE ST,8
409 GREENPOINT AV,8
594 MARCY AV,8
1360 FULTON ST,8
625 ATLANTIC AV,8
34 W END AV,8
3787 BEDFORD AV,8
351 39 ST,8
29 BROOKLYN AV,8
24 BOERUM PL,8
724 LAFAYETTE AV,8
8719 AV D,8
255 MC KIBBIN ST,8
186 EERN PKWAY,8
2300 CROPSEY AV,8
1353 E 91 ST,8
1007 FLATBUSH AV,8
128 ALBANY AV,8
651 NEW YORK AV,8
367 AV S,8
45 NORTH ELLIOT PL,8
227 SCHERMERHORN ST,8
385 FLATBUSH AV EXTENSION,8
14 53 ST,8
805 ST MARKS AV,8
4801 10 AV,8
77 LIVINGSTON ST,8
9411 SHORE RD,8
48 CEDAR ST,8
532 ATLANTIC AV,8
149 KENT AV,8
95 QUINCY ST,8
140 ST EDWARDS ST,8
551 PARK PL,8
8301 SHORE RD,8
274 VAN BUREN ST,8
2 BOND ST,8
3131 BRIGHTON 13 ST,8
9 HOYT ST,8
2277 HOMECREST AV,8
832 MARCY AV,8
843 52 ST,8
274 MALCOLM X BLVD,7
143 FENIMORE ST,7
191 RODNEY ST,7
345 THATFORD AV,7
1501 PITKIN AV,7
326 BOND ST,7
250 JORALEMON ST,7
1202 AV K,7
902 NOSTRAND AV,7
75 NORTH AV ST,7
533 SCHENCK AV,7
68 3 AV ST,7
73 SANDS ST,7
400 PENNSYLVANIA AV,7
161 DUPONT ST,7
153 REMSEN ST,7
1601 KINGS HIGHWAY,7
695 6 AV,7
215 WATER ST,7
6324 4 AV,7
5302 2ND AV,7
535 4 AV,7
250 CROWN ST,7
36 LINDEN ST,7
295 ATLANTIC AV,7
60 WATER ST,7
15 LAFAYETTE AV,7
66 COURT ST,7
14 HALL ST,7
248 MC KIBBIN ST,7
129 NORTH 3 ST,7
410 OCEAN VIEW AV,7
119 KENT AV,7
269 SKILLMAN AV,7
8701 SHORE RD,7
1462 62 ST,7
1630 E 15 ST,7
473 KENT AV,7
93 LAFAYETTE AV,7
3101 AVE I,7
1495 HERKIMER ST,7
1111 OCEAN AV,7
502 86 ST,7
196 MIDDLETON ST,7
600 ROGERS AV,7
315 FRANKLIN AV,7
131 22 ST,7
1734 PRESIDENT ST,7
44 COURT ST,7
343 GOLD ST,7
170 BUFFALO AV,7
84 HUDSON AV,7
1580 E 19 ST,7
311 STATE ST,7
40 HOYT ST,7
185 FREEMAN ST,7
140 SCHERMERHORN ST,7
626 FLATBUSH AV,7
86 E 49 ST,7
846 49 ST,6
465 OCEAN PARKWAY,6
211 ATLANTIC AV,6
350 65 ST,6
175 VAN DYKE ST,6
1169 OCEAN AV,6
642 BEDFORD AV,6
1062 ELTON ST,6
63 BAY 37 ST,6
235 PARK AV,6
653 KNICKERBOCKER AV,6
1566 BEDFORD AV,6
132 CROWN ST,6
235 DUFFIELD ST,6
2651 W 36 ST,6
158 CONCORD ST,6
200 LIVINGSTON ST,6
59 3 AV,6
204 WYTHE AV,6
180 LIVINGSTON ST,6
126 MALCOLM X BLVD,6
116 IMLAY ST,6
491 BERGEN ST,6
29 FLATBUSH AV,6
1765 PROSPECT PL,6
101 HICKS ST,6
3007 FULTON ST,6
961 42 ST,6
1169 46 ST,6
50 LENOX RD,6
49 BRDWAY,6
17 SMITH ST,6
84 FERRIS ST,6
1286 MADISON ST,6
661 FLUSHING AV,6
376 GREENE AV,6
1752 SHORE PARKWAY,6
45 UNIVERSITY PLAZA,6
671 LINCOLN AV,6
236 GREENPOINT AV,6
160 IMLAY ST,6
364 93 ST,6
230 NORTH 9 ST,6
750 ROCKAWAY AV,6
636 BROOKLYN AV,6
35 LINDEN BLVD,6
8714 21 AV,6
414 HICKS ST,6
701 64 ST,6
28 3 AV,6
1329 E 13 ST,6
46 COOK ST,6
123 87 ST,6
493 DRIGGS AV,6
130 GREEN ST,6
81 CLARKSON AV,6
182 MONTAGUE ST,6
1 NORTH 4 PL,6
314 2 ST,6
100 STEUBEN ST,6
1674 ATLANTIC AV,6
985 JAMAICA AV,6
1183 BEDFORD AV,6
2615 AV O,6
6801 SHORE RD,6
53 NORTH 3 ST,6
85 EERN PARKWAY,6
141 LIVINGSTON ST,6
204 MONROE ST,6
331 E 93 ST,6
157 PEARL ST,6
80 RUGBY RD,6
77 WASHINGTON AV,6
53 PROSPECT ST,6
475 E 57 ST,6
99 COMMERCIAL ST,6
46 HANCOCK ST,6
316 BOND ST,6
2819 W 17 ST,6
315 JAY ST,6
410 E 17 ST,6
1302 NEWKIRK AV,6
1310 JEFFERSON AV,6
388 MIDWOOD ST,6
