building,counts
441 7 AV,107
55 WATER ST,99
1 WALL ST,73
10 WALL ST,71
111 E 33 ST,64
621 THIRD AV,63
360 12 AV,59
140 W 53 ST,52
501 W 30 ST,51
71 E 42 ST,51
1 WATER ST,46
234 W 42 ST,46
60 WALL ST,45
4 IRVING PL,45
1221 AVE OF AMER,44
16 LIBERTY ST,42
149 BRDWAY,42
111 8 AV,42
40 WALL ST,41
139 E 42 ST,40
1 CHASE MANHATTAN PLAZA,39
301 CHAMBERS ST,38
626 FIFTH AV,38
9 DEY ST,38
500 AV AV,37
808 COLUMBUS AV,37
1311 BRDWAY,36
350 AV AV,35
109 E 42 ST,35
57 E 57 ST,34
749 LEXINGTON AV,33
229 E 42 ST,32
100 PARK AV,32
139 W ST,32
1334 YORK AV,31
101 W 50 ST,30
3 PARK AV,30
17 BATTERY PL,30
10 E 50 ST,30
72 WALL ST,30
55 LEXINGTON AV,29
16 EXCHANGE PL,29
150 BRDWAY,29
86 PARK AV,29
100 W 125 ST,29
28 OLD SLIP,29
199 WATER ST,28
110 WILLIAM ST,28
50 JOHN ST,28
622 3 AV,28
575 AV AV,28
107 NORTH MOORE ST,28
97 WARREN ST,28
100 CENTRE ST,27
160 FULTON ST,27
10 ROCKEFELLER PLAZA,27
177 FT WASHINGTON AV,27
150 WILLIAM ST,27
1440 BWAY,27
1411 BRDWAY,26
1 PARK AV,26
224 GREENWICH ST,26
114 WALL ST,26
171 PEARL ST,26
1114 AVE OF AMERICAS,26
121 W 105 ST,26
150 MAIDEN LANE,26
2 BRDWAY,26
8 SPRUCE ST,26
212 BRDWAY,25
10 BRDWAY,25
383 HUDSON ST,25
223 E 41 ST,25
401 7 AV,25
90 CHURCH ST,24
1505 BRDWAY,24
521 E 68 ST,24
30 ROCKEFELLER PLAZA,24
78 MAIDEN LANE,24
224 W ST,24
421 PARK AV,24
78 BRD ST,24
217 W 4 AV ST,24
65 TERRACE VIEW AV,24
146 LEONARD ST,24
590 MADISON AV,24
400 W 59 ST,24
80 PINE ST,24
1 W 5 AV ST,23
301 W 3 AV ST,23
105 W 42 ST,23
154 W 32 ST,23
1889 BRDWAY,23
411 W 49 ST,22
25 BRDWAY,22
555 MADISON AV,22
250 W 5 AV ST,22
339 MADISON AV,22
731 LEXINGTON AV,22
635 12 AV,22
301 W 34 ST,22
666 3 AV,21
13 PARK ROW,21
100 CHURCH ST,21
27 PEARL ST,21
700 LEXINGTON AV,21
269 BRDWAY,21
247 W 3 AV ST,21
1000 FIFTH AV,21
1269 LEXINGTON AV,21
105 E 14 ST,21
415 W 23 ST,20
566 HUDSON ST,20
84 PEARL ST,20
76 LAFAYETTE ST,20
108 AMSTERDAM AV,20
48 WALL ST,20
760 THIRD AV,20
143 W 5 AV ST,20
50 W 50 ST,20
206 W 36 ST,19
1900 BRDWAY,19
312 W 34 ST,19
107 WALL ST,19
250 W 50 ST,19
768 FIFTH AV,19
17 LEXINGTON AV,19
616 6 AV,19
750 THIRD AV,19
339 W 29 ST,19
2101 BRDWAY,19
310 W 38 ST,19
123 WILLIAM ST,19
2 MURRAY ST,18
175 DELANCEY ST,18
1321 AVE OF AMER,18
695 PARK AV,18
11 E 42ND ST,18
1260 BRDWAY,18
2361 BRDWAY,18
1372 BRDWAY,18
1188 YORK AV,18
532 WASHINGTON ST,18
227 E 4 AV ST,18
300 PARK AV,18
541 W BRDWAY,18
45 TUDOR CITY PL,18
40 W BRDWAY,18
1860 BRDWAY,18
805 THIRD AV,18
523 LEXINGTON AV,17
2 E 6 AV ST,17
9 ROCKEFELLER PLAZA,17
735 LEXINGTON AV,17
601 W 26 ST,17
839 AV OF AMERICAS,17
230 FIFTH AV,17
756 BRDWAY,17
919 THIRD AV,17
1538 BRDWAY,17
101 MURRAY ST,17
135 W 5 AV ST,17
2 LAFAYETTE ST,17
1241 AVE OF AMERICAS,17
45 E 45 ST,17
781 AV AV,17
52 E 53 ST,17
1301 SIXTH AV,17
114 W 4 AV ST,17
300 CENTRAL PK W,17
57 BRDWAY,17
201 W 55 ST,17
150 E 58 ST,16
470 PARK AV SOUTH,16
205 W 89 ST,16
