building,counts
90-15 QUEENS BLVD,62
110-00 ROCKAWAY BLVD,37
81-50 UTOPIA PARKWAY,33
45-30 36 ST,25
48-18 NORTHERN BLVD,24
162-10 JAMAICA AV,22
10-10 HAZEN ST,22
11-11 HAZEN ST,22
152-02 JAMAICA AV,21
56-45 MAIN ST,21
136-40 ROOSEVELT AV,20
136-20 ROOSEVELT AV,20
82-68 164 ST,19
40-22 COLLEGE POINT BLVD,19
88-11 SUTPHIN BLVD,17
94-20 GUY R BREWER BLVD,16
136-02 ROOSEVELT AV,16
152-11 89 AV,16
44-14 PARSONS BLVD,16
48-18 5 ST,16
47-00 31 PL,15
271-11 76 AV,14
130-30 28 AV,14
44-36 VERNON BLVD,14
61-11 JUNCTION BLVD,14
209-90 23 AV,14
23-21 44 DRIVE,14
29-10 THOMSON AV,13
89-31 161 ST,13
131-09 40 RD,13
80-02 KEW GARDENS RD,13
41-60 MAIN ST,12
125-01 QUEENS BLVD,12
149-25 ROCKAWAY BEACH BLVD,12
88-01 QUEENS BLVD,12
104-04 DITMARS BLVD,12
168-23 JAMAICA AV,12
42-20 KISSENA BLVD,12
61-27 186 ST,12
65-76 KISSENA BLVD,11
107-02 MERRICK BLVD,11
257-15 UNION TURNPIKE,11
33-23 UNION ST,11
90-28 VAN WYCK EXP,11
114-30 145 ST,11
88-06 VAN WYCK EXPWY,11
30-19 CRESCENT ST,11
86-16 60 AV,11
2-01 50 AV,11
114-28 145 ST,10
92-59 59 AV,10
242-02 61 AV,10
89-11 MERRICK BLVD,10
32-49 37 ST,10
36-20 VERNON BLVD,10
143-30 SANFORD AV,10
34-01 38 AV,10
42-15 81 ST,10
132-57 SANFORD AV,10
36-40 BOWNE ST,10
51-05 FLUSHING AV,10
91-30 METROPOLITAN AV,10
16-04 HAZEN ST,10
105-16 133 ST,10
91-31 QUEENS BLVD,10
75-25 153 ST,10
123-62 135 ST,10
160-08 JAMAICA AV,9
143-40 ROOSEVELT AV,9
132-25 MAPLE AV,9
66-20 THORNTON PL,9
75-20 ASTORIA BLVD,9
23-23 ASTORIA BLVD,9
100-15 DITMARS BLVD,9
159-02 JAMAICA AV,9
147-31 38 AV,9
41-25 KISSENA BLVD,9
7-11 SEAGIRT AV,9
161-10 JAMAICA AV,9
92-15 69 AV,9
92-20 168 ST,9
96-05 QUEENS BLVD,9
120-01 ROOSEVELT AV,9
133-24 SANFORD AV,8
65-30 KISSENA BLVD,8
142-31 FRANKLIN AV,8
135-20 39 AV,8
81-10 135 ST,8
140-37 ASH AV,8
54-01 100 ST,8
148-09 NORTHERN BLVD,8
158-11 JEWEL AV,8
97-30 QUEENS BLVD,8
31-10 THOMSON AV,8
142-14 26 AV,8
88-34 161 ST,8
90-10 GRAND CENTRL PARKWAY,8
42-24 ORCHARD ST,8
94-43 CORONA AV,8
41-29 24 ST,8
14-34 110 ST,8
116-25 GUY R BREWER BLVD,8
14-30 BRDWAY,8
74-10 88 ST,8
85-11 34 AV,8
44-41 PURVES ST,8
21-24 31 ST,8
144-02 135 AV,8
89-14 PARSONS BLVD,8
23-11 31 ST,8
83-25 VIETOR AV,8
42-38 FORLEY ST,8
162-46 96 ST,8
72-11 110 ST,8
80-25 PARSONS BLVD,8
45-55 PEARSON ST,8
83-09 TALBOT ST,8
53-31 WOODSIDE AV,8
134-30 FRANKLIN AV,8
132-26 AVERY AV,7
216-08 JAMAICA AV,7
33-53 FARRINGTON ST,7
25-19 43 AV,7
39-30 59 ST,7
75-31 150 ST,7
29-07 QUEENS PLAZA NORTH,7
94-15 100 ST,7
465 BEACH 43 ST,7
36-16 MAIN ST,7
83-14 72 DRIVE,7
26-25 172 ST,7
36-17 PARSONS BLVD,7
71-61 159 ST,7
29-10 THOMPSON AV,7
45-50 VAN DAM ST,7
99-44 62 AV,7
130-30 31 AV,7
52-52 66 ST,7
87-37 PALERMO ST,7
177-30 WEXFORD TERRACE,7
47-09 30 ST,7
88-18 JAMAICA AV,7
66-26 METROPOLITAN AV,7
132-35 SANFORD AV,7
41-07 BOWNE ST,7
132-45 MAPLE AV,7
23-23 BORDEN AV,7
97-42 103 ST,7
88-02 MERRICK BLVD,7
80-28 COOPER AV,7
74-09 37 AV,7
57-30 223 ST,7
144-30 35 AV,7
