building,counts
75 VANDERBILT AV,30
2800 VICTORY BLVD,26
475 SEAVIEW AV,18
330 TOMPKINS AV,17
37 WERN AV,15
355 BARD AV,14
2589 RICHMOND AV,11
112 RICHMOND HILL RD,11
281 SOUTH AV,11
45 INNIS ST,9
7 NAVY PIER COURT,9
135 VANDERBILT AV,9
344 WERVELT AV,9
1 BAY ST LANDING,9
151 TOMPKINS AV,9
4431 VICTORY BLVD,8
91 TOMPKINS AV,7
138 HENDRICKS AV,7
111 VAN PELT AV,7
460 BRIELLE AV,7
31 HYLAN BLVD,7
101 CASTLETON AV,6
2 CENTRAL AV,6
290 ST MARKS PL,6
104 STEUBEN ST,6
631 HOWARD AV,6
225 PARK HILL AV,6
715 OCEAN TERRACE,6
485 CLAWSON ST,6
55 HOLLAND AV,5
256 MASON AV,5
10 RICHMOND TERRACE,5
88 OLD TOWN RD,5
250 PARK AV,5
265 MILL RD,5
42 BRIGHTON AV,5
34 JOLINE AV,5
109 VAN PELT AV,5
2795 RICHMOND AV,5
230 YETMAN AV,5
178 OCEAN TERRACE,5
174 PORT RICHMOND AV,5
150 BAY ST,5
1183 RICHMOND AV,5
60 BAY ST,4
82 DAVIDSON ST,4
371 SOUTH AV,4
90 RICHMOND HILL RD,4
25 MILBANK RD,4
80 BAY ST LANDING,4
100 CENTRAL AV,4
9 WINDHAM LOOP,4
231 WWOOD AV,4
160 MARINE WAY,4
2802C VICTORY BLVD,4
292 VAN DUZER ST,4
85 HOLLAND AV,4
288 KISSEL AV,4
77 STONE LANE,4
348 SEAVIEW AV,4
78A DEBBIE ST,4
185 PARKHILL AV,4
35 HOLLAND AV,4
6 SOMMERS LANE,4
275 CASTLETON AV,4
250 KRAMER AV,4
1 RICHMOND TERRACE,4
43 BELMAR DRIVE W,4
255 MILL RD,4
80 BELMAR DRIVE W,4
350 ST MARKS PL,4
1950 CLOVE RD,4
280 REGIS DRIVE,4
25 W ST,4
51 ROLLING HILL GREEN,4
675 TYSENS LANE,4
124 SENECA ST,4
20 FR CAPODANNO BLVD,4
285 MILL RD,4
65 HOLLAND AV,4
2 ELMWOOD PARK DRIVE,4
140 DINSMORE ST,4
228 BENZIGER AV,4
26 EBBITTS ST,4
32A POND WAY,4
11 WINDHAM LOOP,4
14 ST MARKS PL,4
89 TAFT AV,4
140 MEISNER AV,4
226 BENZIGER AV,4
20 LAGUARDIA AV,4
18 RICHMOND TERRACE,4
35 CHESTNUT AV,4
175 ZOE ST,4
2802B VICTORY BLVD,4
418 BRDWAY,4
153 BAY ST,4
102 HENDERSON AV,3
11 RALPH PL,3
203 MAIN ST,3
245 BRICKTOWN WAY,3
133 RUSSEK DRIVE,3
69 MAPLETON AV,3
57 BEACH ST,3
273 ST MARKS PL,3
100 GREAVES LANE,3
209 PARK AV,3
1275 WOODROW RD,3
55 B RICHMOND TERRACE,3
163 CLINTON AV,3
44 BRIGHTON AV,3
201 EDWARD CURRY AV,3
191 BRADLEY AV,3
140 PARKHILL AV,3
3010 VETERANS RD W,3
185 ST MARKS PL,3
59 ALLEN PL,3
49 CAMBRIDGE AV,3
160 PARKHILL AV,3
139 BAY ST,3
10 WINDHAM LOOP,3
600 HYLAN BLVD,3
2071 CLOVE RD,3
78 STAFFORD AV,3
195 WELLINGTON COURT,3
1232 HYLAN BLVD,3
388 VAN DUZER ST,3
372 BEACH AV,3
1000 TARGEE ST,3
5150 HYLAN BLVD,3
2730 ARTHUR KILL RD,3
27 SUNNYMEADE VILLAGE,3
5801 AMBOY RD,3
258 UNION AV,3
217 HAMILTON AV,3
1174 RICHMOND AV,3
445 CASTLETON AV,3
41 MOSEL LOOP,3
379 VAN DUZER ST,3
1110 SOUTH AV,3
845 VAN DUZER ST,3
275 VETERANS RD W,3
850 RICHMOND TERRACE,3
465 NEW DORP LANE,3
125 TOMPKINS AV,3
94 GLOVER ST,3
1 MANSION AV,3
10 TELEPORT DRIVE,3
50 FORT PL,3
138 VANDERBILT AV,3
7A ARDEN AV,3
20 ENGLEWOOD AV,3
301 SOUTH AV,3
220 OSGOOD AV,3
230 BENZIGER AV,3
119 CORTLANDT ST,3
655 ROSSVILLE AV,3
6 JULES DRIVE,3
280 PLATINUM AV,3
2589 RICHMOND TERRACE,3
115 COURSEN PL,3
28 CORONA AV,3
221 SLATER BLVD,3
4121 RICHMOND AV,3
122 SENECA ST,3
66 MOUNTAINVIEW AV,3
10 BAY ST LANDING,3
76 VAN DUZER ST,3
2975 RICHMOND AV,3
100 LUTEN AV,3
46 MIDLAND RD,3
43 CURTIS PL,3
245 MILL RD,3
210 HOLDEN BLVD,3
300 HOWARD AV,3
1100 SOUTH AV,3
105 HAMILTON AV,3
2900 VETERANS RD W,3
316 PULASKI AV,3
30 EBBITTS ST,3
30 BAY ST,3
150 HEBERTON AV,2
60 HAMILTON AV,2
819 FOREST AV,2
5405 HYLAN BLVD,2
77 MARSH AV,2
1107 GOETHALS RD NORTH,2
196 FRANKLIN AV,2
1995 FOREST AV,2
18 COTTAGE AV,2
42 CROMWELL CIRCLE,2
80 RICHMOND HILL RD,2
129 MERSEREAU AV,2
75 RICHMOND TERRACE,2
62 SEGUINE AV,2
50 OSAGE LANE,2
260 PARKHILL AV,2
85 BARTLETT AV,2
131 GARAGE BODINE ST,2
320 VANDERBILT AV,2
62 NEWBERRY AV,2
1161 VICTORY BLVD,2
843 VAN DUZER ST,2
280 PARK HILL AV,2
950 FINGERBOARD RD,2
455 HUGUENOT AV,2
25 VICTORY BLVD,2
283 PLATINUM AV,2
260 BRADFORD AV,2
2050 FOREST AV,2
59 HYLAN BLVD,2
195 MONTREAL AV,2
350 RICHMOND TERRACE,2
141 PARK HILL AV,2
1817 HYLAN BLVD,2
121 WHEELER AV,2
2465 RICHMOND AV,2
205 PARK AV,2
20 DANIEL LOW TERRACE,2
140 PALMA DRIVE,2
75 CEDAR TERRACE,2
1053 SINCLAIR AV,2
1050 TARGEE ST,2
8 CEDARCLIFF RD,2
2965 VETERANS RD W,2
152 STUYVESANT PL,2
2655 RICHMOND AV,2
81 ROME AV,2
800 MANOR RD,2
2187 VICTORY BLVD,2
174 CORSON AV,2
1686 VICTORY BLVD,2
53 PINE ST,2
755 NARROWS RD NORTH,2
120 STUYVESANT PL,2
177 MORELAND ST,2
34 LAGUARDIA AV,2
1178 MASON AV,2
2389 RICHMOND AV,2
200 LAFAYETTE AV,2
89 COLUMBUS AV,2
2099 FOREST AV,2
2076 HYLAN BLVD,2
350 VANDERBILT AV,2
1625 FOREST AV,2
2790 ARTHUR KILL RD,2
180 PARKHILL AV,2
362 VICTORY BLVD,2
52 GUNTON PL,2
65 WERVELT AV,2
519 BRDWAY,2
165 ST MARKS PL,2
176 1/2 MORELAND ST,2
1415 RICHMOND AV,2
50 ALMOND ST,2
110 MEISNER AV,2
11 HARRISON AV,2
180 BRD ST,2
1050 CLOVE RD,2
1 EDGEWATER ST,2
1441 RICHMOND AV,2
120 SHERMAN AV,2
671 BAY ST,2
631 VAN DUZER ST,2
56 BAY ST,2
2060 CLOVE RD,2
41 WELLINGTON COURT,2
26 BAY ST,2
800 CASTLETON AV,2
1100 CLOVE RD,2
87 TAFT AV,2
659 RICHMOND RD,2
42 AUSTIN PL,2
78 LAYTON AV,2
1150 SOUTH AV,2
15 CAMPUS RD,2
288 CLOVE RD,2
12 LINDEN AV,2
20 CLIFF ST,2
1550 RICHMOND AV,2
268 VOGEL AV,2
388 RICHMOND TERRACE,2
70 SIGNAL HILL RD,2
950 W FINGERBOARD RD,2
1000 CLOVE RD,2
555 PAGE AV,2
3465 AMBOY RD,2
999 FOREST AV,2
171 ANDROVETTE AV,2
201 BAY ST,2
98 GRANT ST,2
2550 VICTORY BLVD,2
455 FRONT ST,2
1671 HYLAN BLVD,2
38 REID AV,2
55 AUSTIN PL,2
267 NEW DORP LANE,2
414 WERVELT AV,2
4 ROSEWOOD PL,2
424 FLAGG PL,2
2295 FOREST AV,2
100 ST MARYS AV,2
51 ADA DRIVE,2
171 WELLINGTON COURT,2
265 NEW DORP LANE,2
4234 ARTHUR KILL RD,2
15 BANK ST,2
400 VICTORY BLVD,2
260 CHRISTOPHER LANE,2
55 QUINTARD ST,2
15 LAYTON AV,2
36 HAMILTON AV,2
468 MC CLEAN AV,2
3450 VICTORY BLVD,2
65 COLUMBUS AV,2
1130 SOUTH AV,2
7382C AMBOY RD,2
101 HARBOR VIEW PL SOUTH,2
115 STUYVESANT PL,2
2777 HYLAN BLVD,2
41 MANOR COURT,2
75 STACK DRIVE,2
501 SEAVIEW AV,2
2385 RICHMOND AV,2
801 NARROWS RD NORTH,2
240 PARKHILL AV,2
91 TAFT AV,2
100 BELMONT PL,2
4677 HYLAN BLVD,2
1122 CASTLETON AV,2
160 ROCKVILLE AV,2
2239 HYLAN BLVD,2
15 WILLIAM ST,2
242 MASON AV,2
12 CAMPUS RD,2
169 DANIEL LOW TERRACE,2
