ecb_issue_badge,ecb_issue_date,nyc_BIN,ecb_type_code
2771,2016-11-22,2041898,PLUMBING
2771,2016-11-22,2013090,PLUMBING
2666,2016-11-22,2008734,ELEVATOR
2771,2016-11-22,2093686,CONSTRUCTION
2771,2016-11-22,2093686,PLUMBING
2771,2016-11-22,2013090,PLUMBING
2666,2016-11-21,2091244,ELEVATOR
1244,2016-11-21,1089395,ELECTRICAL
2715,2016-11-21,1062933,ELEVATOR
2765,2016-11-21,1074189,ELEVATOR
1244,2016-11-21,1089395,ELECTRICAL
2765,2016-11-21,1087381,ELEVATOR
1244,2016-11-21,1089395,ELECTRICAL
2716,2016-11-21,1079267,ELEVATOR
2246,2016-11-21,2042241,CONSTRUCTION
2765,2016-11-21,1083997,ELEVATOR
1244,2016-11-21,1089395,ELECTRICAL
2666,2016-11-21,2116647,ELEVATOR
1244,2016-11-21,1089395,ELECTRICAL
1244,2016-11-21,1089395,ELECTRICAL
2768,2016-11-20,1005856,CONSTRUCTION
2669,2016-11-19,1005782,CONSTRUCTION
2246,2016-11-19,1054487,CONSTRUCTION
2544,2016-11-19,1076251,CONSTRUCTION
2246,2016-11-19,1051861,CONSTRUCTION
2544,2016-11-19,1055719,CONSTRUCTION
2744,2016-11-18,1060839,CONSTRUCTION
2666,2016-11-18,2007822,ELEVATOR
2689,2016-11-18,1017246,ELEVATOR
2600,2016-11-18,1015583,CONSTRUCTION
2727,2016-11-18,2004826,CONSTRUCTION
2565,2016-11-18,2003313,CONSTRUCTION
2715,2016-11-18,1061969,ELEVATOR
2744,2016-11-18,1060839,CONSTRUCTION
2689,2016-11-18,1017226,ELEVATOR
2744,2016-11-18,1060839,CONSTRUCTION
1244,2016-11-18,1056653,CONSTRUCTION
2787,2016-11-18,1060085,ELEVATOR
2600,2016-11-18,1015583,CONSTRUCTION
1244,2016-11-18,1030169,CONSTRUCTION
2565,2016-11-17,1084173,CONSTRUCTION
2565,2016-11-17,1058363,CONSTRUCTION
2775,2016-11-17,2071921,CONSTRUCTION
2565,2016-11-17,1084173,CONSTRUCTION
2600,2016-11-16,1015043,CONSTRUCTION
2589,2016-11-16,4210404,CONSTRUCTION
2224,2016-11-16,1087122,CONSTRUCTION
2224,2016-11-16,1087122,CONSTRUCTION
2589,2016-11-16,4210404,CONSTRUCTION
2600,2016-11-16,1015043,CONSTRUCTION
1244,2016-11-16,1046642,ELECTRICAL
2600,2016-11-16,1015043,CONSTRUCTION
2589,2016-11-16,4210404,CONSTRUCTION
2565,2016-11-16,1034003,CONSTRUCTION
2765,2016-11-16,1026508,ELEVATOR
2600,2016-11-16,1015043,CONSTRUCTION
2589,2016-11-16,4210404,CONSTRUCTION
1244,2016-11-16,1046642,ELECTRICAL
2686,2016-11-16,1063522,ELECTRICAL
2589,2016-11-16,4210404,CONSTRUCTION
2600,2016-11-16,1015043,CONSTRUCTION
2767,2016-11-15,4432075,ELEVATOR
2246,2016-11-15,2023837,CONSTRUCTION
2783,2016-11-15,1011145,CONSTRUCTION
2765,2016-11-15,1064215,ELEVATOR
2765,2016-11-15,1079909,CONSTRUCTION
1244,2016-11-15,1089295,CONSTRUCTION
2565,2016-11-15,1063517,CONSTRUCTION
1244,2016-11-15,1089295,CONSTRUCTION
2686,2016-11-15,1079913,CONSTRUCTION
2246,2016-11-15,2023837,CONSTRUCTION
2246,2016-11-15,2023837,CONSTRUCTION
2767,2016-11-15,4432075,ELEVATOR
2646,2016-11-14,1061003,CONSTRUCTION
2543,2016-11-14,1087256,CONSTRUCTION
2543,2016-11-14,1087256,"CRANES "
2771,2016-11-14,2002941,CONSTRUCTION
2732,2016-11-14,1063448,CONSTRUCTION
1244,2016-11-14,1056673,ELECTRICAL
2554,2016-11-14,5132991,CONSTRUCTION
2543,2016-11-14,1087256,CONSTRUCTION
2715,2016-11-14,1058687,ELEVATOR
2543,2016-11-14,1087256,CONSTRUCTION
2543,2016-11-14,1087256,CONSTRUCTION
2771,2016-11-14,2002941,PLUMBING
1244,2016-11-14,1056673,ELECTRICAL
2715,2016-11-14,1061156,ELEVATOR
2512,2016-11-13,3015608,CONSTRUCTION
2700,2016-11-13,3049341,CONSTRUCTION
2768,2016-11-13,2012898,CONSTRUCTION
2768,2016-11-13,2012644,CONSTRUCTION
2650,2016-11-12,3137077,CONSTRUCTION
2639,2016-11-12,2010448,CONSTRUCTION
2639,2016-11-12,2002895,CONSTRUCTION
2774,2016-11-12,2018010,CONSTRUCTION
2774,2016-11-12,2017720,CONSTRUCTION
2774,2016-11-12,2017427,CONSTRUCTION
2774,2016-11-12,2018010,CONSTRUCTION
2650,2016-11-12,3137077,CONSTRUCTION
2639,2016-11-12,2004257,CONSTRUCTION
