elev_inspect_badge,elev_inspect_date,nyc_BIN,location,elev_inspect_type
200,2016-12-14,2096811,"40.8760889,-73.8276731",SPECIAL
200,2016-12-14,2096810,"40.8704457,-73.8259608",SPECIAL
2559,2016-12-13,3337329,"40.6315250,-73.9431330",COMPLAINT
1514,2016-12-12,1061125,"40.8243050,-73.9437260",SPECIAL
2715,2016-12-12,1060085,"40.8189710,-73.9400400",COMPLAINT
2741,2016-12-12,3388502,"40.7022790,-73.9615425",COMPLAINT
2658,2016-12-12,4593964,"40.7519795,-73.9406311",SPECIAL
2658,2016-12-12,4593964,"40.7519795,-73.9406311",SPECIAL
2765,2016-12-10,3056589,"40.6857440,-73.9562450",COMPLAINT
2741,2016-12-10,3331321,"40.7039491,-73.9628325",COMPLAINT
2657,2016-12-10,4029662,"40.7512710,-73.8869430",COMPLAINT
2822,2016-12-10,3116154,"40.6529330,-73.9601960",COMPLAINT
2713,2016-12-09,2008878,"40.8489910,-73.9217720",COMPLAINT
2822,2016-12-09,3083425,"40.6741258,-73.9037099","VIOLATION REINSPECTION"
2822,2016-12-09,3083425,"40.6741258,-73.9037099","VIOLATION REINSPECTION"
9028,2016-12-09,2094217,"40.8521060,-73.8914570",ROUTINE
9028,2016-12-09,2094217,"40.8521060,-73.8914570",ROUTINE
9028,2016-12-09,2094217,"40.8521060,-73.8914570",ROUTINE
9028,2016-12-09,2094217,"40.8521060,-73.8914570",ROUTINE
9028,2016-12-09,2011560,"40.8545650,-73.8921930",ROUTINE
2713,2016-12-09,2009012,"40.8496560,-73.9178220",COMPLAINT
2765,2016-12-08,1077854,"40.7792471,-73.9532219",COMPLAINT
9015,2016-12-08,1089451,"40.7172506,-73.9852757",SURVEY
9028,2016-12-08,1019511,"40.7328874,-73.9853488",ROUTINE
9028,2016-12-08,3346864,"40.6633560,-73.9278196",ROUTINE
9028,2016-12-08,1021911,"40.7449216,-73.9746948",ROUTINE
2761,2016-12-08,2003313,"40.8386101,-73.9252726",COMPLAINT
2787,2016-12-08,3245059,"40.5757700,-73.9646090",COMPLAINT
2687,2016-12-07,5046266,"40.6046900,-74.0869510",SPECIAL
2713,2016-12-07,2093937,"40.8225494,-73.8930549",COMPLAINT
2787,2016-12-07,3030845,"40.6749450,-73.9396780",COMPLAINT
2547,2016-12-07,3339183,"40.5735399,-73.9930026",COMPLAINT
2787,2016-12-07,3028315,"40.6763100,-73.9565830",COMPLAINT
9028,2016-12-07,2000679,"40.8153172,-73.9187850",ROUTINE
2687,2016-12-07,5046266,"40.6046900,-74.0869510",SPECIAL
2658,2016-12-07,4444449,"40.7391034,-73.7579044",COMPLAINT
9028,2016-12-07,1078843,"40.7444269,-73.9757094",ROUTINE
9028,2016-12-07,1078843,"40.7444269,-73.9757094",ROUTINE
9028,2016-12-07,1078843,"40.7444269,-73.9757094",ROUTINE
9028,2016-12-07,1078843,"40.7444269,-73.9757094",ROUTINE
9028,2016-12-07,1078843,"40.7444269,-73.9757094",ROUTINE
9028,2016-12-07,1078843,"40.7444269,-73.9757094",ROUTINE
2765,2016-12-07,1056409,"40.7961699,-73.9701631",COMPLAINT
2713,2016-12-07,2006227,"40.8237660,-73.8882700",COMPLAINT
2777,2016-12-07,4008606,"40.7668237,-73.9199862",COMPLAINT
9028,2016-12-07,4007843,"40.7680205,-73.9207656",ROUTINE
9028,2016-12-07,4007843,"40.7680205,-73.9207656",ROUTINE
2658,2016-12-07,4210316,"40.7104690,-73.7879150",COMPLAINT
2789,2016-12-07,4037501,"40.7431630,-73.8815470",COMPLAINT
1739,2016-12-07,1037604,"40.7531911,-73.9708966",SPECIAL
2713,2016-12-07,2120352,"40.8274524,-73.8948128",COMPLAINT
1739,2016-12-07,1042841,"40.7710766,-73.9634668",SPECIAL
2713,2016-12-06,2008118,"40.8412280,-73.9143890",COMPLAINT
2789,2016-12-06,3006318,"40.6855144,-73.9919959",COMPLAINT
2789,2016-12-06,3006318,"40.6855144,-73.9919959",COMPLAINT
2460,2016-12-06,1010542,"40.7356530,-73.9996130",COMPLAINT
9053,2016-12-06,4593964,"40.7519795,-73.9406311",SURVEY
2713,2016-12-06,2117667,"40.8412350,-73.9210430",COMPLAINT
2467,2016-12-06,1038755,"40.7509514,-73.9703726",SPECIAL
200,2016-12-06,1001460,"40.7141690,-74.0074120",SPECIAL
2666,2016-12-06,2018417,"40.8731540,-73.8764570",COMPLAINT
9008,2016-12-06,1015921,"40.7514061,-73.9857264",SURVEY
9008,2016-12-06,1015921,"40.7514061,-73.9857264",SURVEY
9028,2016-12-06,1020570,"40.7369730,-73.9802240",ROUTINE
9028,2016-12-06,1088713,"40.7491630,-73.9773940",ROUTINE
9028,2016-12-06,1088713,"40.7491630,-73.9773940",ROUTINE
9028,2016-12-05,1019487,"40.7499411,-73.9768660",ROUTINE
9028,2016-12-05,1019487,"40.7499411,-73.9768660",ROUTINE
2765,2016-12-05,1060086,"40.8188040,-73.9396400",COMPLAINT
2666,2016-12-05,2009077,"40.8526300,-73.9166180",COMPLAINT
2742,2016-12-05,4232979,"40.7068670,-73.7623520",COMPLAINT
9028,2016-12-05,1019483,"40.7493002,-73.9758645",ROUTINE
9028,2016-12-05,1019483,"40.7493002,-73.9758645",ROUTINE
9028,2016-12-05,1019483,"40.7493002,-73.9758645",ROUTINE
9028,2016-12-05,1019483,"40.7493002,-73.9758645",ROUTINE
9028,2016-12-05,1019483,"40.7493002,-73.9758645",ROUTINE
9028,2016-12-05,1019483,"40.7493002,-73.9758645",ROUTINE
9028,2016-12-05,1019483,"40.7493002,-73.9758645",ROUTINE
9028,2016-12-05,1019483,"40.7493002,-73.9758645",ROUTINE
9028,2016-12-05,1019483,"40.7493002,-73.9758645",ROUTINE
9028,2016-12-05,1019483,"40.7493002,-73.9758645",ROUTINE
9028,2016-12-05,1019483,"40.7493002,-73.9758645",ROUTINE
9028,2016-12-05,1019483,"40.7493002,-73.9758645",ROUTINE
9028,2016-12-05,1019483,"40.7493002,-73.9758645",ROUTINE
9028,2016-12-05,1019483,"40.7493002,-73.9758645",ROUTINE
9028,2016-12-05,1019483,"40.7493002,-73.9758645",ROUTINE
2657,2016-12-05,1001973,"40.7180680,-74.0061335",SPECIAL
2657,2016-12-05,1001973,"40.7180680,-74.0061335",SPECIAL
2666,2016-12-05,2009077,"40.8526300,-73.9166180",COMPLAINT
9028,2016-12-05,3323151,"40.6522409,-73.9480960",ROUTINE
9028,2016-12-05,3323151,"40.6522409,-73.9480960",ROUTINE
2765,2016-12-05,1060086,"40.8188040,-73.9396400",COMPLAINT
9028,2016-12-05,2011265,"40.8485859,-73.8974675",ROUTINE
1915,2016-12-03,1048824,"40.7790660,-73.9518499",SPECIAL
1915,2016-12-03,1048824,"40.7790509,-73.9518760",SPECIAL
1915,2016-12-03,1048824,"40.7790509,-73.9518760",SPECIAL
9027,2016-12-03,1035742,"40.7611668,-73.9748160",ROUTINE
9027,2016-12-03,1035742,"40.7611668,-73.9748160",ROUTINE
2542,2016-12-03,5109251,"40.6167601,-74.0822561",COMPLAINT
2715,2016-12-02,1088110,"40.7620782,-73.9929344",COMPLAINT
9028,2016-12-02,4065248,"40.7304190,-73.8728870",ROUTINE
1514,2016-12-02,2095398,"40.8723842,-73.8259105",SPECIAL
1514,2016-12-02,2093864,"40.8661389,-73.8226950",SPECIAL
2765,2016-12-02,1056548,"40.7991702,-73.9690974",COMPLAINT
2789,2016-12-02,4051291,"40.7356320,-73.8528282",COMPLAINT
2789,2016-12-02,4051291,"40.7356320,-73.8528282",COMPLAINT
2715,2016-12-02,1026769,"40.7660740,-73.9879340",COMPLAINT
9028,2016-12-02,1060872,"40.8280451,-73.9392504",ROUTINE
2826,2016-12-02,1032587,"40.7933424,-73.9704493",SPECIAL
2676,2016-12-02,2010905,"40.8294740,-73.8866700",COMPLAINT
2676,2016-12-02,2010903,"40.8288330,-73.8867523",COMPLAINT
9028,2016-12-02,1085251,"40.7953456,-73.9496185",ROUTINE
9028,2016-12-02,1085251,"40.7953456,-73.9496185",ROUTINE
9028,2016-12-02,1076337,"40.7946453,-73.9491944",ROUTINE
9028,2016-12-02,1076337,"40.7946453,-73.9491944",ROUTINE
9028,2016-12-02,1076337,"40.7946453,-73.9491944",ROUTINE
9028,2016-12-02,1076337,"40.7946453,-73.9491944",ROUTINE
2742,2016-12-02,3055375,"40.6889558,-73.9636029",SPECIAL
9028,2016-12-02,1060908,"40.8201990,-73.9460850",ROUTINE
9028,2016-12-02,1060908,"40.8201990,-73.9460850",ROUTINE
9028,2016-12-02,1060906,"40.8196671,-73.9466880",ROUTINE
9028,2016-12-02,4065248,"40.7304190,-73.8728870",ROUTINE
2676,2016-12-02,2010155,"40.8427381,-73.8869307",COMPLAINT
2527,2016-12-02,1080667,"40.7421755,-73.9918415",SPECIAL
9028,2016-12-02,2117932,"40.8455914,-73.8971040",ROUTINE
9028,2016-12-02,2117932,"40.8455914,-73.8971040",ROUTINE
2715,2016-12-02,1057061,"40.7959590,-73.9734280",COMPLAINT
9022,2016-12-02,4436440,"40.5956161,-73.7827652",ROUTINE
9028,2016-12-01,1060849,"40.8261010,-73.9404600",ROUTINE
9027,2016-12-01,2093697,"40.8921644,-73.8562959",ROUTINE
9027,2016-12-01,2093697,"40.8921644,-73.8562959",ROUTINE
9027,2016-12-01,2093697,"40.8921644,-73.8562959",ROUTINE
9027,2016-12-01,2093697,"40.8921644,-73.8562959",ROUTINE
9027,2016-12-01,2063301,"40.8853750,-73.8588470",ROUTINE
9028,2016-12-01,1087464,"40.8246420,-73.9413910",ROUTINE
9028,2016-12-01,1087464,"40.8246420,-73.9413910",ROUTINE
9028,2016-12-01,1087463,"40.8235602,-73.9425036",ROUTINE
9028,2016-12-01,1087463,"40.8235602,-73.9425036",ROUTINE
9028,2016-12-01,1087463,"40.8235602,-73.9425036",ROUTINE
2559,2016-12-01,3335129,"40.6980705,-73.9751082",SPECIAL
2559,2016-12-01,3335129,"40.6980705,-73.9751082",SPECIAL
9028,2016-12-01,4052811,"40.7148382,-73.8310864",ROUTINE
