source_table,comp_disp_inspection_by,comp_disp_date,nyc_BIN,location,note1,note2
comp,2707,9/30/16,2002789,"40.8240250,-73.9237179",,
comp,2703,9/30/16,2003263,"40.8344210,-73.9278930",,
comp,2685,9/30/16,3038261,"40.6650470,-73.9337819",,
comp,2703,9/30/16,2002608,"40.8337400,-73.9145440",,
comp,2748,9/30/16,4437037,"40.7773010,-73.9217290",,
comp,2387,9/30/16,3325690,"40.6997550,-73.9185520",,
comp,2668,9/30/16,1059517,"40.8091880,-73.9581259",,
comp,2732,9/30/16,2002258,"40.8311970,-73.9139480",,
comp,2741,9/30/16,3006318,"40.6855144,-73.9919959",,
comp,2765,9/30/16,1064248,"40.8643090,-73.9279090",,
comp,686,9/30/16,3000428,"40.6906929,-73.9880561",,
comp,2412,9/30/16,2013718,"40.8560550,-73.9001350",,
comp,1710,9/30/16,3054155,"40.6968310,-73.9653480",,
comp,2716,9/30/16,1006354,"40.7277510,-73.9869870",,
comp,2552,9/30/16,4080598,"40.7079962,-73.9079863",,
comp,737,9/30/16,2013695,"40.8536860,-73.9008420",,
comp,1734,9/30/16,2013695,"40.8536860,-73.9008420",,
comp,237,9/30/16,1014159,"40.7451480,-73.9961332",,
comp,1795,9/30/16,1026586,"40.7633129,-73.9918080",,
comp,2723,9/30/16,3001859,"40.6976000,-73.9940423",,
comp,2512,9/30/16,3002035,"40.6952619,-73.9967137",,
comp,2706,9/30/16,3418186,"40.6896912,-73.9906588",,
comp,2646,9/30/16,3418186,"40.6896912,-73.9906588",,
comp,2750,9/30/16,4454658,"40.7845412,-73.7767724",,
comp,1710,9/30/16,3000495,"40.6894035,-73.9856444",,
comp,2695,9/30/16,1014148,"40.7447664,-73.9965599",,
comp,2412,9/30/16,2007890,"40.8467210,-73.9094845",,
comp,2725,9/30/16,3001909,"40.6964029,-73.9928170",,
comp,2668,9/30/16,1079450,"40.7992164,-73.9595585",,
comp,2668,9/30/16,1016898,"40.7445979,-73.9865394",,
comp,686,9/30/16,3000428,"40.6905609,-73.9880337",,
comp,2695,9/30/16,1077912,"40.7496510,-73.9859340",,
comp,860,9/30/16,2000740,"40.8119174,-73.9240952",,
comp,1710,9/30/16,3322382,"40.6915800,-73.9684810",,
comp,2608,9/30/16,3342746,"40.6785024,-73.8799577",,
comp,2283,9/30/16,1085651,"40.7724026,-73.9592035",,
comp,2600,9/30/16,1011938,"40.7366850,-74.0068090",,
comp,2783,9/30/16,1018242,"40.7438181,-73.9827947",,
comp,237,9/30/16,1014159,"40.7450169,-73.9962882",,
comp,2715,9/30/16,1064467,"40.8576828,-73.9324386",,
comp,2632,9/30/16,3116667,"40.6533800,-73.9523500",,
comp,1795,9/30/16,1080358,"40.7418780,-74.0060300",,
comp,2723,9/30/16,3026064,"40.6651790,-73.9786460",,
comp,2682,9/30/16,3074559,"40.7019400,-73.9183640",,
comp,2271,9/30/16,1006777,"40.7300920,-73.9878990",,
comp,860,9/30/16,2000740,"40.8119190,-73.9241170",,
comp,2608,9/30/16,3329653,"40.6923043,-73.9414860",,
comp,2608,9/30/16,3338648,"40.6923043,-73.9414860",,
comp,1780,9/30/16,2008645,"40.8412247,-73.9216103",,
comp,1795,9/30/16,1062575,"40.8354329,-73.9393893",,
comp,2683,9/30/16,4004872,"40.7500834,-73.9362904",,
comp,2251,9/30/16,3025231,"40.6700150,-73.9752430",,
comp,2676,9/30/16,1064780,"40.8650142,-73.9198236",,
comp,2555,9/30/16,1015921,"40.7514061,-73.9857264",,
