boro,door_number,street_address
1,622,W 165 ST
1,650,W 165 ST
1,560,W 165 ST
1,540,W 165 ST
1,635,W 165 ST
1,540,W 165 ST
1,600,W 165 ST
1,558,W 165 ST
1,627,W 165 ST
1,484,W 165 ST
1,133,W 11 ST
1,356,W 11 ST
1,300,W 11 ST
1,377,W 11 ST
1,56,W 11 ST
1,45,W 11 ST
1,332,W 11 ST
1,283,W 11 ST
1,366,W 11 ST
1,138,W 11 ST
1,244,W 11 ST
1,271,W 11 ST
1,226,W 11 ST
1,237,W 11 ST
1,29,W 11 ST
1,341,W 11 ST
1,147,W 11 ST
1,268,W 11 ST
1,158 1/2,W 11 ST
1,201,W 11 ST
1,52,W 11 ST
1,27,W 11 ST
1,55,W 11 ST
1,227,W 11 ST
1,31,W 11 ST
1,1,W 11 ST
1,222,W 11 ST
1,107,W 11 ST
1,359,W 11 ST
1,27,WASHINGTON SQUARE N
1,133,W 21 ST
1,48,W 21 ST
1,419,W 21 ST
1,313,W 21 ST
1,261,W 21 ST
1,45,W 21 ST
1,155,W 21 ST
1,541,W 21 ST
1,132,W 21 ST
1,510,W 21 ST
1,249,W 21 ST
1,501,W 21 ST
1,54,W 21 ST
1,233,W 21 ST
1,120,W 21 ST
1,511,W 21 ST
1,5,W 21 ST
1,361,W 21 ST
1,534,W 21 ST
1,38,W 21 ST
1,15,W 21 ST
1,12,W 21 ST
1,327,W 21 ST
1,16,W 21 ST
1,162,W 21 ST
1,234,W 21 ST
1,29,W 21 ST
1,459,W 21 ST
1,55,W 21 ST
1,4,W 21 ST
1,150,W 21 ST
1,429,W 21 ST
1,551,W 21 ST
1,35,W 21 ST
1,19,W 21 ST
1,31,W 21 ST
1,136,W 21 ST
1,218,W 21 ST
1,53,W 21 ST
1,121,W 21 ST
1,27,W 12 AV ST
1,510,W 12 AV ST
1,202,W 12 AV ST
1,445,W 12 AV ST
1,73,W 12 AV ST
1,463,W 12 AV ST
1,357,W 12 AV ST
1,14,W 12 AV ST
1,515,W 169 ST
1,709,W 169 ST
1,618,W 169 ST
1,600,W 169 ST
1,651,W 169 ST
1,41,ST NICHOLAS TERRACE
1,35,ST NICHOLAS TERRACE
1,25,ST NICHOLAS TERRACE
1,8,ST NICHOLAS TERRACE
1,49,ST NICHOLAS TERRACE
1,360,ST NICHOLAS TERRACE
1,133,W 25 ST
1,137,W 25 ST
1,48,W 25 ST
1,28,W 25 ST
1,160,W 25 ST
1,140,W 25 ST
1,543,W 25 ST
1,516,W 25 ST
1,112,W 25 ST
1,425,W 25 ST
1,511,W 25 ST
1,138,W 25 ST
1,329,W 25 ST
1,521,W 25 ST
1,415,W 25 ST
1,151,W 25 ST
1,553,W 25 ST
1,130,W 25 ST
1,430,W 25 ST
1,24,W 25 ST
1,164,W 25 ST
1,418,W 25 ST
1,530,W 25 ST
1,401,W 25 ST
1,159,W 25 ST
1,108,W 25 ST
1,147,W 25 ST
1,539,W 25 ST
1,146,W 25 ST
1,127,W 25 ST
1,406,W 25 ST
1,22,W 25 ST
1,134,W 25 ST
1,407,W 25 ST
1,9,W 25 ST
1,40,W 25 ST
1,152,W 25 ST
1,18,W 25 ST
1,11,W 25 ST
1,231,W 25 ST
1,40,W 25 ST
1,107,W 25 ST
1,119,W 25 ST
1,300,E 39 ST
1,20,E 39 ST
1,28,E 39 ST
1,25,E 39 ST
1,30,E 39 ST
1,250,E 39 ST
1,322,E 39 ST
1,240,E 39 ST
1,330,E 39 ST
1,141,E 39 ST
1,130,E 39 ST
1,24,E 39 ST
1,318,E 39 ST
1,111,E 39 ST
1,148,E 39 ST
1,6,E 39 ST
1,32,E 39 ST
1,144,E 39 ST
1,210,E 39 ST
1,134,E 39 ST
1,27,E 39 ST
1,200,E 39 ST
1,135,E 39 ST
1,224,E 39 ST
1,204,E 39 ST
1,41,W 33 ST
1,35,W 33 ST
1,18,W 33 ST
1,43,W 33 ST
1,450,W 33 ST
1,109,W 33 ST
1,425,W 33 ST
1,38,W 33 ST
1,49,W 33 ST
1,16,W 33 ST
1,424,W 33 ST
1,28,W 33 ST
1,507,W 33 ST
1,217,BRDWAY
1,3671,BRDWAY
1,1514,BRDWAY
1,3485,BRDWAY
1,261,BRDWAY
1,388,BRDWAY
1,5030,BRDWAY
1,1237,BRDWAY
1,541,BRDWAY
1,2561,BRDWAY
1,1107,BRDWAY
1,502,BRDWAY
1,1364,BRDWAY
1,1717,BRDWAY
1,1960,BRDWAY
1,708,BRDWAY
1,3643,BRDWAY
1,2273,BRDWAY
1,4600,BRDWAY
1,2720,BRDWAY
1,530,BRDWAY
1,2150,BRDWAY
1,579,BRDWAY
1,3410,BRDWAY
1,611,BRDWAY
1,2861,BRDWAY
1,4425,BRDWAY
1,5195,BRDWAY
1,4251,BRDWAY
1,1182,BRDWAY
1,213,BRDWAY
1,4343,BRDWAY
1,351,BRDWAY
1,175,BRDWAY
1,826,BRDWAY
1,1275,BRDWAY
1,827,BRDWAY
1,1961,BRDWAY
1,305,BRDWAY
1,1855,BRDWAY
1,2101,BRDWAY
1,684,BRDWAY
1,3800,BRDWAY
1,297,BRDWAY
1,4140,BRDWAY
1,350,BRDWAY
1,2929,BRDWAY
1,4455,BRDWAY
1,2288,BRDWAY
1,2222,BRDWAY
1,537,BRDWAY
1,2080,BRDWAY
1,374,BRDWAY
1,1841,BRDWAY
1,2421,BRDWAY
1,198,BRDWAY
1,2345,BRDWAY
1,2000,BRDWAY
1,444,BRDWAY
1,2121,BRDWAY
1,2586,BRDWAY
1,595,BRDWAY
1,791,BRDWAY
1,2120,BRDWAY
1,4501,BRDWAY
1,715,BRDWAY
1,4124,BRDWAY
1,2281,BRDWAY
1,1393,BRDWAY
1,478,BRDWAY
1,1170,BRDWAY
1,2040,BRDWAY
1,1420,BRDWAY
1,3957,BRDWAY
1,876,BRDWAY
1,2301,BRDWAY
1,4141,BRDWAY
1,1350,BRDWAY
1,550,BRDWAY
1,620,BRDWAY
1,486,BRDWAY
1,1650,BRDWAY
1,187,BRDWAY
1,406,BRDWAY
1,722,BRDWAY
1,55,BRDWAY
1,396,BRDWAY
1,179,BRDWAY
1,4308,BRDWAY
1,384,BRDWAY
1,2030,BRDWAY
1,487,BRDWAY
1,1758,BRDWAY
1,400,BRDWAY
1,1302,BRDWAY
1,392,BRDWAY
1,1652,BRDWAY
1,1500,BRDWAY
1,1260,BRDWAY
1,1162,BRDWAY
1,2624,BRDWAY
1,5057,BRDWAY
1,434,BRDWAY
1,1424,BRDWAY
1,589,BRDWAY
1,57,BRDWAY
1,181,BRDWAY
1,3495,BRDWAY
1,2,BRDWAY
1,233,BRDWAY
1,365,BRDWAY
1,335,BRDWAY
1,273,BRDWAY
1,628,BRDWAY
1,149,BRDWAY
1,810,BRDWAY
1,1614,BRDWAY
1,1230,BRDWAY
1,1540,BRDWAY
1,3151,BRDWAY
1,1214,BRDWAY
1,4523,BRDWAY
1,1710,BRDWAY
1,2220,BRDWAY
1,495,BRDWAY
1,1459,BRDWAY
